valid_time,model_level,latitude,longitude,expver,t
1/1/2013,1,78,345,1,221.03477
1/1/2013,1,78,346,1,221.16856
1/1/2013,1,78,347,1,221.2965
1/1/2013,1,78,348,1,221.41368
1/1/2013,1,78,349,1,221.51817
1/1/2013,1,78,350,1,221.60753
1/1/2013,1,78,351,1,221.68321
1/1/2013,1,78,352,1,221.74571
1/1/2013,1,78,353,1,221.79893
1/1/2013,1,78,354,1,221.84435
1/1/2013,1,78,355,1,221.88438
1/1/2013,1,78,356,1,221.92003
1/1/2013,1,78,357,1,221.95274
1/1/2013,1,78,358,1,221.98155
1/1/2013,1,78,359,1,222.0084
1/1/2013,1,77,0,1,212.17393
1/1/2013,1,77,310,1,212.50108
1/1/2013,1,77,311,1,212.84142
1/1/2013,1,77,312,1,213.192
1/1/2013,1,77,313,1,213.54893
1/1/2013,1,77,314,1,213.90733
1/1/2013,1,77,315,1,214.26183
1/1/2013,1,77,316,1,214.60558
1/1/2013,1,77,317,1,214.93224
1/1/2013,1,77,318,1,215.23888
1/1/2013,1,77,319,1,215.52257
1/1/2013,1,77,320,1,215.78673
1/1/2013,1,77,321,1,216.03429
1/1/2013,1,77,322,1,216.27208
1/1/2013,1,77,323,1,216.50499
1/1/2013,1,77,324,1,216.73595
1/1/2013,1,77,325,1,216.96593
1/1/2013,1,77,326,1,217.19249
1/1/2013,1,77,327,1,217.41124
1/1/2013,1,77,328,1,217.61876
1/1/2013,1,77,329,1,217.8131
1/1/2013,1,77,330,1,217.99425
1/1/2013,1,77,331,1,218.16515
1/1/2013,1,77,332,1,218.3297
1/1/2013,1,77,333,1,218.49327
1/1/2013,1,77,334,1,218.65929
1/1/2013,1,77,335,1,218.82921
1/1/2013,1,77,336,1,219.00401
1/1/2013,1,77,337,1,219.18321
1/1/2013,1,77,338,1,219.36632
1/1/2013,1,77,339,1,219.55138
1/1/2013,1,77,340,1,219.73839
1/1/2013,1,77,341,1,219.92735
1/1/2013,1,77,342,1,220.11534
1/1/2013,1,77,343,1,220.3004
1/1/2013,1,77,344,1,220.47911
1/1/2013,1,77,345,1,220.64659
1/1/2013,1,77,346,1,220.79942
1/1/2013,1,77,347,1,220.93321
1/1/2013,1,77,348,1,221.04747
1/1/2013,1,77,349,1,221.14171
1/1/2013,1,77,350,1,221.21788
1/1/2013,1,77,351,1,221.27989
1/1/2013,1,77,352,1,221.33116
1/1/2013,1,77,353,1,221.37608
1/1/2013,1,77,354,1,221.41905
1/1/2013,1,77,355,1,221.46397
1/1/2013,1,77,356,1,221.51427
1/1/2013,1,77,357,1,221.57237
1/1/2013,1,77,358,1,221.63927
1/1/2013,1,77,359,1,221.71593
1/1/2013,1,76,0,1,210.93175
1/1/2013,1,76,310,1,211.2169
1/1/2013,1,76,311,1,211.51866
1/1/2013,1,76,312,1,211.83458
1/1/2013,1,76,313,1,212.1632
1/1/2013,1,76,314,1,212.50157
1/1/2013,1,76,315,1,212.84679
1/1/2013,1,76,316,1,213.19249
1/1/2013,1,76,317,1,213.53331
1/1/2013,1,76,318,1,213.8629
1/1/2013,1,76,319,1,214.17638
1/1/2013,1,76,320,1,214.4713
1/1/2013,1,76,321,1,214.74718
1/1/2013,1,76,322,1,215.0084
1/1/2013,1,76,323,1,215.2589
1/1/2013,1,76,324,1,215.50401
1/1/2013,1,76,325,1,215.74669
1/1/2013,1,76,326,1,215.98888
1/1/2013,1,76,327,1,216.22862
1/1/2013,1,76,328,1,216.46349
1/1/2013,1,76,329,1,216.692
1/1/2013,1,76,330,1,216.91222
1/1/2013,1,76,331,1,217.12608
1/1/2013,1,76,332,1,217.33604
1/1/2013,1,76,333,1,217.54503
1/1/2013,1,76,334,1,217.75597
1/1/2013,1,76,335,1,217.97179
1/1/2013,1,76,336,1,218.19395
1/1/2013,1,76,337,1,218.42345
1/1/2013,1,76,338,1,218.66026
1/1/2013,1,76,339,1,218.90489
1/1/2013,1,76,340,1,219.15489
1/1/2013,1,76,341,1,219.40733
1/1/2013,1,76,342,1,219.65685
1/1/2013,1,76,343,1,219.89659
1/1/2013,1,76,344,1,220.11974
1/1/2013,1,76,345,1,220.31944
1/1/2013,1,76,346,1,220.4918
1/1/2013,1,76,347,1,220.63536
1/1/2013,1,76,348,1,220.75108
1/1/2013,1,76,349,1,220.84093
1/1/2013,1,76,350,1,220.90831
1/1/2013,1,76,351,1,220.95763
1/1/2013,1,76,352,1,220.99425
1/1/2013,1,76,353,1,221.02306
1/1/2013,1,76,354,1,221.05284
1/1/2013,1,76,355,1,221.09044
1/1/2013,1,76,356,1,221.14415
1/1/2013,1,76,357,1,221.21886
1/1/2013,1,76,358,1,221.317
1/1/2013,1,76,359,1,221.43663
1/1/2013,1,75,0,1,209.98253
1/1/2013,1,75,310,1,210.16612
1/1/2013,1,75,311,1,210.3668
1/1/2013,1,75,312,1,210.58507
1/1/2013,1,75,313,1,210.8214
1/1/2013,1,75,314,1,211.07628
1/1/2013,1,75,315,1,211.34923
1/1/2013,1,75,316,1,211.63927
1/1/2013,1,75,317,1,211.94347
1/1/2013,1,75,318,1,212.25694
1/1/2013,1,75,319,1,212.57286
1/1/2013,1,75,320,1,212.88438
1/1/2013,1,75,321,1,213.18565
1/1/2013,1,75,322,1,213.47374
1/1/2013,1,75,323,1,213.74913
1/1/2013,1,75,324,1,214.01622
1/1/2013,1,75,325,1,214.28038
1/1/2013,1,75,326,1,214.54503
1/1/2013,1,75,327,1,214.81358
1/1/2013,1,75,328,1,215.08556
1/1/2013,1,75,329,1,215.36046
1/1/2013,1,75,330,1,215.63683
1/1/2013,1,75,331,1,215.91563
1/1/2013,1,75,332,1,216.19688
1/1/2013,1,75,333,1,216.48253
1/1/2013,1,75,334,1,216.77257
1/1/2013,1,75,335,1,217.06651
1/1/2013,1,75,336,1,217.36436
1/1/2013,1,75,337,1,217.66417
1/1/2013,1,75,338,1,217.96642
1/1/2013,1,75,339,1,218.27013
1/1/2013,1,75,340,1,218.57433
1/1/2013,1,75,341,1,218.8756
1/1/2013,1,75,342,1,219.16954
1/1/2013,1,75,343,1,219.44933
1/1/2013,1,75,344,1,219.70714
1/1/2013,1,75,345,1,219.93712
1/1/2013,1,75,346,1,220.1334
1/1/2013,1,75,347,1,220.29405
1/1/2013,1,75,348,1,220.41808
1/1/2013,1,75,349,1,220.50645
1/1/2013,1,75,350,1,220.5626
1/1/2013,1,75,351,1,220.59288
1/1/2013,1,75,352,1,220.60606
1/1/2013,1,75,353,1,220.61339
1/1/2013,1,75,354,1,220.62999
1/1/2013,1,75,355,1,220.66808
1/1/2013,1,75,356,1,220.73741
1/1/2013,1,75,357,1,220.8419
1/1/2013,1,75,358,1,220.97716
1/1/2013,1,75,359,1,221.1339
1/1/2013,1,74,0,1,209.14415
1/1/2013,1,74,310,1,209.20909
1/1/2013,1,74,311,1,209.28526
1/1/2013,1,74,312,1,209.37657
1/1/2013,1,74,313,1,209.48546
1/1/2013,1,74,314,1,209.61339
1/1/2013,1,74,315,1,209.76378
1/1/2013,1,74,316,1,209.94102
1/1/2013,1,74,317,1,210.15001
1/1/2013,1,74,318,1,210.39317
1/1/2013,1,74,319,1,210.6671
1/1/2013,1,74,320,1,210.96544
